pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
Kepler-697 b,Transit,0,1,3.70987065,,,,,,0.368,,0,1,0,1,18h55m27.45s,283.864390,+41d20m47.2s,41.346458,1091.00,1325.46,15.581,Kepler-band,15.546,5513.00,0.92,0.88,2016-05-10,Kepler
Kepler-698 b,Transit,0,1,16.32976218,,,,,,0.328,,0,1,0,1,19h14m02.40s,288.509997,+41d18m06.4s,41.301769,1135.00,2119.15,15.447,Kepler-band,15.432,5612.00,0.94,0.91,2016-05-10,Kepler
Kepler-699 b,Transit,0,1,27.80756293,,,,,,1.259,,0,1,0,1,19h47m33.17s,296.888201,+41d23m45.9s,41.396091,888.00,2211.43,15.482,Kepler-band,15.474,5330.00,0.81,0.78,2016-05-10,Kepler
Kepler-7 b,Transit,0,1,4.88548920,0.060670,,85.161,0.44100,Mass,1.622,0.14000,0,1,0,1,19h14m19.56s,288.581516,+41d05m23.3s,41.089800,947.46,947.46,12.885,Kepler-band,12.865,5933.00,1.36,1.97,2015-10-15,Kepler
Kepler-700 b,Transit,0,1,80.87206390,,,,,,0.534,,0,1,0,1,19h08m37.03s,287.154300,+41d33m56.8s,41.565788,1061.00,1558.53,15.201,Kepler-band,15.192,5692.00,0.98,0.96,2016-05-10,Kepler
Kepler-701 b,Transit,0,1,10.35533177,,,,,,0.253,,0,1,0,1,19h15m58.60s,288.994182,+41d37m59.8s,41.633278,755.00,791.66,15.018,Kepler-band,14.968,5343.00,0.88,0.84,2016-05-10,Kepler
Kepler-702 b,Transit,0,1,10.52629406,,,,,,0.818,,0,1,0,1,19h35m30.75s,293.878112,+41d39m42.4s,41.661770,892.00,1020.26,15.305,Kepler-band,15.310,5419.00,0.90,0.86,2016-05-10,Kepler
Kepler-703 b,Transit,0,1,4.58352176,,,,,,0.732,,0,1,0,1,19h56m44.85s,299.186861,+41d44m33.7s,41.742682,1482.00,1194.12,15.287,Kepler-band,15.253,6185.00,1.18,1.27,2016-05-10,Kepler
Kepler-704 b,Transit,0,1,3.76182115,,,,,,0.233,,0,1,0,1,18h53m15.93s,283.316391,+41d50m13.6s,41.837120,1054.00,1273.25,15.257,Kepler-band,15.249,5616.00,0.97,0.96,2016-05-10,Kepler
Kepler-705 b,Transit,0,1,56.05605380,,,,,,0.188,,0,1,0,1,19h18m02.04s,289.508502,+41d48m43.6s,41.812107,251.00,279.03,15.849,Kepler-band,15.852,3722.00,0.53,0.51,2016-05-10,Kepler
Kepler-706 b,Transit,0,1,41.40831347,,,,,,1.175,,0,1,0,1,19h27m02.50s,291.760406,+41d56m38.7s,41.944077,810.00,909.51,15.196,Kepler-band,15.166,5394.00,0.87,0.84,2016-05-10,Kepler
Kepler-707 b,Transit,0,1,2.23749275,,,,,,0.119,,0,1,0,1,19h20m01.82s,290.007570,+42d06m59.3s,42.116459,626.00,601.99,15.001,Kepler-band,14.997,5099.00,0.80,0.76,2016-05-10,Kepler
